2014-09-22 21:46:09: -- TVSite m mobile: ANALYSIS started by User on 'mike’s MacBook Pro' (GoodSync 4.3.7.0)
2014-09-22 21:46:09: /code/hey/tv styles/smarty0_mobile =NoPropDels=> ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile, NoWaitForLocks, UberUnlockedUpload, CopyCreateTime
2014-09-22 21:46:09: L: State file does not exist: /code/hey/tv styles/smarty0_mobile/_gsdata_/_file_state._gs
2014-09-22 21:46:09: L: No State File found, New State will be built
2014-09-22 21:46:09: L: Files: 106 (excluded 0). Folders: 14 (excluded 0). /dev/disk0s2 HFS, Free: 46.1 GB, Total: 465.0 GB
2014-09-22 21:46:10: R: State file does not exist: ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/_gsdata_/_file_state._gs
2014-09-22 21:46:16: R: No State File found, New State will be built
2014-09-22 21:46:16: R: Files: 106 (excluded 0). Folders: 14 (excluded 0). FTP: FTP Server ready.
2014-09-22 21:46:16: Changes: 106, Conflicts: 0, CopyTime: 0, CopyState: 0/14, Errors: 0
2014-09-22 21:46:16: Left to Right: Copy File: 106 
2014-09-22 21:47:43: Copy Over '/code/hey/tv styles/smarty0_mobile/gallery.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/gallery.tpl'
2014-09-22 21:47:45: Copy Over '/code/hey/tv styles/smarty0_mobile/general/display_movielength.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/display_movielength.tpl'
2014-09-22 21:47:46: Copy Over '/code/hey/tv styles/smarty0_mobile/general/facebook.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/facebook.tpl'
2014-09-22 21:47:47: Copy Over '/code/hey/tv styles/smarty0_mobile/general/header.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/header.tpl'
2014-09-22 21:47:47: Copy Over '/code/hey/tv styles/smarty0_mobile/general/js_picarr.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/js_picarr.tpl'
2014-09-22 21:47:48: Copy Over '/code/hey/tv styles/smarty0_mobile/general/page_bottom.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/page_bottom.tpl'
2014-09-22 21:47:49: Copy Over '/code/hey/tv styles/smarty0_mobile/general/page_top.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/page_top.tpl'
2014-09-22 21:47:50: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_bonus.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_bonus.tpl'
2014-09-22 21:47:51: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_calendar.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_calendar.tpl'
2014-09-22 21:47:52: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_category.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_category.tpl'
2014-09-22 21:47:53: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_custompages.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_custompages.tpl'
2014-09-22 21:47:54: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_dvds.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_dvds.tpl'
2014-09-22 21:47:55: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_faq.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_faq.tpl'
2014-09-22 21:47:56: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_gallery.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_gallery.tpl'
2014-09-22 21:47:57: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_image.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_image.tpl'
2014-09-22 21:47:58: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_index.tpl'
2014-09-22 21:47:59: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_news.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_news.tpl'
2014-09-22 21:48:00: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_search.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_search.tpl'
2014-09-22 21:48:01: Copy Over '/code/hey/tv styles/smarty0_mobile/general/pg_sets.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/pg_sets.tpl'
2014-09-22 21:48:02: Copy Over '/code/hey/tv styles/smarty0_mobile/general/poll.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/poll.tpl'
2014-09-22 21:48:03: Copy Over '/code/hey/tv styles/smarty0_mobile/general/sitelink.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/sitelink.tpl'
2014-09-22 21:48:04: Copy Over '/code/hey/tv styles/smarty0_mobile/general/stdimage.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/stdimage.tpl'
2014-09-22 21:48:05: Copy Over '/code/hey/tv styles/smarty0_mobile/general/topnav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/topnav.tpl'
2014-09-22 21:48:05: Copy Over '/code/hey/tv styles/smarty0_mobile/general/twitter.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/twitter.tpl'
2014-09-22 21:48:06: Copy Over '/code/hey/tv styles/smarty0_mobile/general/votefrm.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/votefrm.tpl'
2014-09-22 21:48:07: Copy Over '/code/hey/tv styles/smarty0_mobile/general/votefrm_model.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/votefrm_model.tpl'
2014-09-22 21:48:08: Copy Over '/code/hey/tv styles/smarty0_mobile/general/votefrm_model_sub.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/votefrm_model_sub.tpl'
2014-09-22 21:48:10: Copy Over '/code/hey/tv styles/smarty0_mobile/general/votefrm_sub.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/general/votefrm_sub.tpl'
2014-09-22 21:48:11: Copy Over '/code/hey/tv styles/smarty0_mobile/index/comingsoon.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/index/comingsoon.tpl'
2014-09-22 21:48:12: Copy Over '/code/hey/tv styles/smarty0_mobile/index/episode_index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/index/episode_index.tpl'
2014-09-22 21:48:13: Copy Over '/code/hey/tv styles/smarty0_mobile/index/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/index/pagenav.tpl'
2014-09-22 21:48:14: Copy Over '/code/hey/tv styles/smarty0_mobile/index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/index.tpl'
2014-09-22 21:48:15: Copy Over '/code/hey/tv styles/smarty0_mobile/join.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/join.tpl'
2014-09-22 21:48:16: Copy Over '/code/hey/tv styles/smarty0_mobile/listen.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/listen.tpl'
2014-09-22 21:48:18: Copy Over '/code/hey/tv styles/smarty0_mobile/news/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/news/pagenav.tpl'
2014-09-22 21:48:18: Copy Over '/code/hey/tv styles/smarty0_mobile/news/pg_news.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/news/pg_news.tpl'
2014-09-22 21:48:19: Copy Over '/code/hey/tv styles/smarty0_mobile/news.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/news.tpl'
2014-09-22 21:48:20: Copy Over '/code/hey/tv styles/smarty0_mobile/news_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/news_outside.tpl'
2014-09-22 21:48:21: Copy Over '/code/hey/tv styles/smarty0_mobile/offers.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/offers.tpl'
2014-09-22 21:48:22: Copy Over '/code/hey/tv styles/smarty0_mobile/offers_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/offers_outside.tpl'
2014-09-22 21:48:24: Copy Over '/code/hey/tv styles/smarty0_mobile/search/advancedsearch_box.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/search/advancedsearch_box.tpl'
2014-09-22 21:48:25: Copy Over '/code/hey/tv styles/smarty0_mobile/search/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/search/pagenav.tpl'
2014-09-22 21:48:25: Copy Over '/code/hey/tv styles/smarty0_mobile/search/search_box2.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/search/search_box2.tpl'
2014-09-22 21:48:26: Copy Over '/code/hey/tv styles/smarty0_mobile/search.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/search.tpl'
2014-09-22 21:48:28: Copy Over '/code/hey/tv styles/smarty0_mobile/sets/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets/pagenav.tpl'
2014-09-22 21:48:29: Copy Over '/code/hey/tv styles/smarty0_mobile/sets/sets_category_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets/sets_category_item.tpl'
2014-09-22 21:48:30: Copy Over '/code/hey/tv styles/smarty0_mobile/sets/sets_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets/sets_item.tpl'
2014-09-22 21:48:31: Copy Over '/code/hey/tv styles/smarty0_mobile/sets.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets.tpl'
2014-09-22 21:48:32: Copy Over '/code/hey/tv styles/smarty0_mobile/sets_outside/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets_outside/pagenav.tpl'
2014-09-22 21:48:33: Copy Over '/code/hey/tv styles/smarty0_mobile/sets_outside/sets_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets_outside/sets_item.tpl'
2014-09-22 21:48:34: Copy Over '/code/hey/tv styles/smarty0_mobile/sets_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/sets_outside.tpl'
2014-09-22 21:48:35: Copy Over '/code/hey/tv styles/smarty0_mobile/settings.xml' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/settings.xml'
2014-09-22 21:48:37: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/comingsoon_item.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/comingsoon_item.tpl'
2014-09-22 21:48:38: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/episode.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/episode.tpl'
2014-09-22 21:48:39: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/episode_index.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/episode_index.tpl'
2014-09-22 21:48:40: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/episode_undertext.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/episode_undertext.tpl'
2014-09-22 21:48:41: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/page_bottom.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/page_bottom.tpl'
2014-09-22 21:48:42: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/page_top.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/page_top.tpl'
2014-09-22 21:48:43: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/pagenav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/pagenav.tpl'
2014-09-22 21:48:44: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/pg_tour.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/pg_tour.tpl'
2014-09-22 21:48:44: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/sitelink.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/sitelink.tpl'
2014-09-22 21:48:45: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/splash.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/splash.tpl'
2014-09-22 21:48:46: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/stdimage.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/stdimage.tpl'
2014-09-22 21:48:47: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/topnav.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/topnav.tpl'
2014-09-22 21:48:48: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/votefrm.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/votefrm.tpl'
2014-09-22 21:48:49: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1/votefrm_sub.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1/votefrm_sub.tpl'
2014-09-22 21:48:50: Copy Over '/code/hey/tv styles/smarty0_mobile/tour1.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/tour1.tpl'
2014-09-22 21:48:51: Copy Over '/code/hey/tv styles/smarty0_mobile/trailer_outside.tpl' -> 'ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/trailer_outside.tpl'
2014-09-22 21:48:52: Save State File ftp://cs2055.mojohost.com/bonobodesigns.com/public_html/cms_admin/smarty/smarty0_mobile/_gsdata_/_file_state_v4._gs
2014-09-22 21:48:53: Items Synced OK: 120, Errors: 0
2014-09-22 21:48:53: == Sync Completed. Time: 00:01:54, Speed: 2.1 KB/s (900.0/s)
